FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_
495,496, , , , , , ,Chittagong,496,Slide,2014, ,0,0, ,219, 
496,497, , , , , , ,Chittagong,497,Fall,2013, ,0,0, ,51, 
497,498, , , , , , ,Chittagong,498,Fall,2014, ,0,0, ,28, 
498,499, , , , , , ,Chittagong,499,Fall,2014, ,0,0, ,59, 
499,500,Motijhorna,Stabilized, , , , ,Chittagong,500,Fall,28/07/2013, ,2,0, ,90,Rainfall
500,501,"Masjid para, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,501,Slide,13/06/207,Advancing,0,0,Nil,21,Rainfall
501,502,"Masjid Para, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,502,Slide,13/06/207,Advancing,0,0,Nil,44,Rainfall
502,503,"Masjid Para, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,503,Slide,13/06/207,Advancing,0,0,Nil,20,Rainfall
503,504,"Masjid Para, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,504,Slide,13/06/207,Advancing,0,0,Nil,39,Rainfall
504,505,"Masjid Para, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,505,Slide,13/06/207,Advancing,0,0,Nil,39,Rainfall
505,506,"Manikchari, On Road",Active,Wet,Debris,Nil,Low,Rangamati,506,Slide,13/06/207,Advancing,0,0,Nil,79,Rainfall
506,507,"Manikchari, On Road",Active,Wet,Debris,Nil,Low,Rangamati,507,Slide,13/06/207,Advancing,0,0,Nil,16,Rainfall
507,508,"Masjid Para, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,508,Slide,13/06/207,Advancing,0,0,Nil,27,Rainfall
508,509,"Manikchari, On Road",Active,Wet,Soil,Nil,Low,Rangamati,509,Slide,13/06/207,Advancing,0,0,Nil,514,Rainfall
509,510,"Manikchari, On Road",Active,Wet,Soil,Nil,Low,Rangamati,510,Slide,13/06/207,Advancing,0,0,Nil,171,Rainfall
510,511,"Manikchari, On Road",Active,Wet,Debris,Nil,Low,Rangamati,511,Slide,13/06/207,Advancing,0,0,Nil,743,Rainfall
511,512,"Manikchari, On Road",Active,Wet,Debris,Nil,Low,Rangamati,512,Slide,13/06/207,Advancing,0,0,Nil,74,Rainfall
512,513,"Manikchari, On Road",Active,Wet,Debris,Nil,Low,Rangamati,513,Slide,13/06/207,Advancing,0,0,Nil,82,Rainfall
513,514,"Rupnagar, Sadar",Active,Wet,Debris,High,High,Rangamati,514,Slide,13/06/2017,Advancing,3,2,High,3345,Rainfall
514,515,"Rupnagar, Sadar",Active,Wet,Soil,Low,Low,Rangamati,515,Slide,13/06/2017,Advancing,0,0,Low,89,Rainfall
515,516,"Rupnagar, Sadar",Active,Wet,Debris,Nil,Nil,Rangamati,516,Slide,13/06/2017,Advancing,0,2,Medium,75,Rainfall
516,517,"Rupnagar, Sadar",Active,Wet,Debris,Nil,Nil,Rangamati,517,Slide,13/06/2017,Advancing,0,0,Nil,102,Rainfall
517,518,"TV Center, Rangamati",Active,Wet,Debris,Nil,Low,Rangamati,518,Slide,13/06/2017,Advancing,0,0,Nil,181,Rainfall
518,519,"TV Center, Rangamati",Active,Wet,Soil,Nil,Low,Rangamati,519,Slide,13/06/2017,Advancing,0,0,Nil,74,Rainfall
519,520,"TV Center, Rangamati",Active,Wet,Soil,Nil,Low,Rangamati,520,Slide,13/06/2017,Advancing,0,0,Nil,40,Rainfall
520,521,"Passport Office, Rangmati Sadar",Active,Wet,Soil,Nil,Low,Rangamati,521,Complex,13/06/2017,Advancing,0,0,Nil,22,Rainfall
521,522,"Passport Office, Rangmati Sadar",Active,Wet,Soil,Nil,Low,Rangamati,522,Slide,13/06/2017,Advancing,0,0,Nil,70,Rainfall
522,523,"Rangamati Jail, Sadar",Active,Wet,Debris,Low,Low,Rangamati,523,Slide,13/06/2017,Advancing,0,2,Medium,46,Rainfall
523,524,"Bandhu Jishu Tila, Sadar",Active,Wet,Soil,Nil,High,Rangamati,524,Slide,13/06/2017,Advancing,0,4,High,23,Rainfall
