Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
115,8W,21.192943,92.150703,12.00,2020,50,60,25.0,15.7,20.0,12.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
116,8W,21.195442,92.150112,9.00,2020,45,55,28.0,12.7,18.0,9.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
117,8W,21.192943,92.150703,12.00,2020,47,62,25.0,16.4,20.0,12.0,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
118,8e,21.193512,92.162416,13.00,2020,26,52,20.0,27.0,25.0,13.0,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
119,8e,21.192761,92.162063,4.20,2020,39,58,125.0,11.0,6.0,4.2,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
120,8e,21.193661,92.161337,7.80,2020,25,40,120.0,20.0,15.0,7.8,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
121,8e,21.194492,92.161192,3.70,2020,26,40,16.0,12.0,8.0,3.7,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
122,8E,21.195348,92.160793,6.00,2020,35,60,50.0,10.5,18.0,6.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
123,8E,21.193158,92.161817,10.00,2019,35,75,120.0,17.4,30.0,10.0,Soil or Earth,Complex,Suspended,Advancing,Successive,,,,,,,,,,,,,,,
124,7,21.201355,92.163638,8.20,2020,30,50,20.0,18.0,15.0,8.2,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
125,7,21.201817,92.164553,4.50,2020,18,42,15.0,14.0,9.0,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
126,7,21.202045,92.159217,7.00,2020,42,35,25.0,10.5,14.0,7.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
127,3,21.207241,92.148942,7.00,2020,20,41,20.0,19.0,15.8,7.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
128,6,21.204435,92.158664,7.50,2020,35,45,10.0,15.5,13.0,7.5,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
129,6,21.205708,92.158642,11.00,2020,70,80,10.0,13.0,12.0,11.0,Soil or Earth,Fall,Active,"Enlarging, Widening",Successive,,,,,,,,,,,,,,,
130,6,21.205794,92.158519,3.70,2020,32,68,15.0,6.0,4.0,3.7,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
